ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_ps v_speed 
5.89907 9.72718 0 0.85523 
7.1816 9.76269 0 0.681864 
8.50081 9.7674 0 0.860175 
9.77565 9.76152 0 0.627114 
11.0794 9.76453 0 0.665048 
12.3731 9.74655 0 0.596234 
13.6809 9.75709 0 0.669166 
14.9733 9.76365 0 0.610206 
16.2585 9.76799 0 0.491327 
17.5921 9.77265 0 0.793847 
18.8681 9.73701 0 0.562847 
0.696015 11.0496 0 0.81529 
1.98199 11.043 0 0.678639 
3.29702 11.0392 0 0.817365 
4.60985 11.0591 0 0.930927 
5.88437 11.0449 0 0.698699 
7.17516 11.0323 0 0.634489 
8.49023 11.0421 0 0.753494 
9.78238 11.0679 0 0.698107 
11.1025 11.0408 0 0.865136 
12.3873 11.0634 0 0.733398 
13.6784 11.0402 0 0.649577 
14.997 11.0302 0 0.830752 
16.2785 11.0397 0 0.651025 
17.5929 11.0404 0 0.778999 
18.8889 11.0441 0 0.739996 
0.685058 12.3662 0 0.728735 
1.97902 12.3469 0 0.65003 
3.25372 12.3516 0 0.419831 
4.56262 12.342 0 0.508737 
5.88279 12.3401 0 0.691436 
7.19412 12.3442 0 0.788263 
8.48833 12.3342 0 0.751592 
9.78225 12.3583 0 0.678025 
11.0774 12.3525 0 0.632693 
12.3914 12.3509 0 0.759178 
13.6973 12.3515 0 0.811335 
14.9669 12.3577 0 0.533575 
16.3098 12.323 0 0.9743 
17.5834 12.3268 0 0.746814 
18.877 12.3241 0 0.723077 
0.690135 13.6617 0 0.763003 
1.99182 13.6542 0 0.761766 
3.27831 13.6265 0 0.690565 
4.57685 13.6522 0 0.626439 
5.8849 13.6431 0 0.70797 
7.17187 13.6268 0 0.640017 
8.49117 13.6278 0 0.799529 
9.78001 13.6421 0 0.666846 
11.0908 13.6444 0 0.757683 
12.4005 13.6449 0 0.842209 
13.6907 13.6297 0 0.795875 
14.9755 13.6471 0 0.612246 
16.2614 13.6296 0 0.57733 
17.5958 13.6164 0 0.899169 
18.8529 13.585 0 0.950217 
0.687514 14.936 0 0.758722 
1.99311 14.9597 0 0.769359 
3.29857 14.9437 0 0.828473 
4.56267 14.9235 0 0.588555 
5.88073 14.949 0 0.660924 
7.19748 14.946 0 0.813969 
8.50182 14.9337 0 0.87751 
9.78393 14.9327 0 0.728662 
11.085 14.9489 0 0.692815 
12.4088 14.9357 0 0.929003 
13.6957 14.9165 0 0.89635 
14.9964 14.9057 0 0.962988 
16.2868 14.9183 0 0.825333 
17.5804 14.92 0 0.769099 
18.8705 14.9288 0 0.637584 
0.689928 16.2489 0 0.756716 
2.00773 16.224 0 0.95544 
3.28656 16.2431 0 0.722051 
4.56429 16.2504 0 0.510693 
5.88666 16.2257 0 0.7771 
7.19771 16.2695 0 0.794607 
8.46776 16.2597 0 0.521339 
9.76918 16.2334 0 0.61038 
11.0816 16.2307 0 0.720914 
12.3782 16.2405 0 0.651659 
13.7 16.244 0 0.813285 
15.0081 16.2392 0 0.883289 
16.2686 16.1881 0 0.953774 
17.5648 16.194 0 0.90482 
18.8401 16.2212 0 0.635401 
0.709669 17.5586 0 0.920272 
1.99701 17.5434 0 0.81203 
3.28696 17.5453 0 0.718869 
4.59311 17.5298 0 0.81634 
5.88447 17.5544 0 0.676253 
7.17218 17.5309 0 0.645302 
8.48568 17.5074 0 0.871645 
9.79449 17.5199 0 0.871514 
11.0662 17.529 0 0.618533 
12.3617 17.5246 0 0.622234 
13.6906 17.5371 0 0.751377 
14.9703 17.5165 0 0.738623 
16.2621 17.5145 0 0.720562 
17.5854 17.5015 0 0.922596 
18.8548 17.5044 0 0.800498 
0.680877 18.8363 0 0.705187 
2.00162 18.8294 0 0.888683 
3.28703 18.8461 0 0.714475 
4.57839 18.8413 0 0.653381 
5.90403 18.8104 0 0.988842 
7.18641 18.8172 0 0.824507 
8.49201 18.8404 0 0.764697 
9.78471 18.8182 0 0.810544 
11.0753 18.8108 0 0.7985 
12.3688 18.8387 0 0.581315 
13.6781 18.8258 0 0.720209 
14.9743 18.8174 0 0.75413 
16.2635 18.8047 0 0.809851 
17.55 18.8123 0 0.71789 
18.8435 18.8213 0 0.641216 
ITEM: TIMESTEP
1500
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_ps v_speed 
0.724061 0.709763 0 1.12482 
2.02762 0.686201 0 1.06815 
3.33161 0.68947 0 1.09704 
4.58126 0.689276 0 0.851256 
5.91003 0.688212 0 0.98695 
7.20609 0.706132 0 1.02739 
8.51888 0.718052 0 1.12924 
9.80253 0.729962 0 1.11198 
11.1141 0.709995 0 1.08392 
12.4273 0.732522 0 1.22737 
13.7175 0.729114 0 1.17626 
14.9975 0.734809 0 1.13818 
16.2768 0.696372 0 0.894018 
17.6014 0.71568 0 1.04562 
18.8434 0.724473 0 1.00744 
0.72961 1.97453 0 1.06137 
1.99158 1.97914 0 0.85367 
3.33146 1.97058 0 1.04834 
4.58279 1.98027 0 0.814744 
5.91967 1.94135 0 0.93491 
7.23581 1.99816 0 1.13238 
8.52225 1.99419 0 1.0541 
9.8342 2.00857 0 1.1562 
11.0974 1.99976 0 0.959368 
12.4312 2.00642 0 1.13381 
13.7014 1.9967 0 0.966597 
14.9651 2.05291 0 1.12631 
16.2805 2.02316 0 1.02125 
17.5759 2.08148 0 1.33168 
18.8662 2.047 0 1.13224 
0.72407 3.2605 0 1.01221 
2.03503 3.26659 0 1.06425 
3.31802 3.25585 0 0.954866 
4.64093 3.28226 0 1.12162 
5.9002 3.25011 0 0.845147 
7.22529 3.29866 0 1.07784 
8.53334 3.2838 0 1.08396 
9.82557 3.28457 0 1.04487 
11.1236 3.27023 0 0.997861 
12.388 3.304 0 0.932882 
13.7082 3.29466 0 0.98919 
14.9809 3.31303 0 0.959827 
16.3182 3.32311 0 1.13915 
17.5557 3.30008 0 0.848167 
18.8482 3.32398 0 0.986 
0.742999 4.56111 0 1.1188 
2.01921 4.55869 0 0.967885 
3.35482 4.55565 0 1.1655 
4.60848 4.5792 0 0.938601 
5.93306 4.58044 0 1.07492 
7.23961 4.51488 0 1.05712 
8.53364 4.57048 0 1.06131 
9.82832 4.58575 0 1.06178 
11.1203 4.60065 0 1.0596 
12.4143 4.59892 0 1.02795 
13.7706 4.58803 0 1.28252 
15.0315 4.60207 0 1.12163 
16.2984 4.61429 0 1.02832 
17.6038 4.63367 0 1.13871 
18.89 4.6138 0 0.990877 
0.73207 5.89126 0 1.09537 
2.05026 5.84055 0 1.1375 
3.33478 5.86048 0 1.0583 
4.6049 5.86472 0 0.89413 
5.9272 5.88064 0 1.04008 
7.22711 5.84352 0 1.00213 
